setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_foreground,kligler,natiCPO07_09,docres_classical040_blend_0.85,28.832771578992983,0.9135774970054626,0.5520560969977847
structure_foreground,kligler,natiCPO07_12,docres_classical040_blend_0.85,29.425931856697098,0.9293012022972107,0.4788004394473656
structure_foreground,kligler,natiCPO08_01,docres_classical040_blend_0.95,26.340600435017624,0.9715269804000854,0.4192576099241734
structure_foreground,kligler,natiCPO08_02,docres_classical040_blend_0.70,28.631450980806523,0.9765697717666626,0.3968132603515441
structure_foreground,kligler,natiCPO08_05,docres_classical040_blend_0.95,27.257918696677017,0.9725526571273804,0.42521008405164606
structure_foreground,kligler,natiCPO08_06,docres_classical040_blend_0.90,27.154784808039523,0.961370050907135,0.4242585316145898
structure_foreground,kligler,natiCPR01_01,docres_classical040_blend_0.80,26.189124308533863,0.9691545963287354,0.3971978263594749
structure_foreground,kligler,natiCPR01_10,docres_classical040_blend_0.80,26.950243768217423,0.9485692977905273,0.3448394526256918
structure_foreground,kligler,natiCPR01_11,docres_classical040_blend_0.70,25.857590942291793,0.9345479011535645,0.3570352702016988
structure_foreground,kligler,natiCPR01_14,docres_classical040_blend_0.80,25.310346803577666,0.9343934655189514,0.3817645973642609
structure_foreground,kligler,natiCPR02_10,docres_classical040_blend_0.95,27.67294936610936,0.9402205944061279,0.455529180401369
structure_foreground,kligler,natiCPR02_12,docres_classical040_blend_0.95,26.815077003880706,0.9393082857131958,0.4580540020156863
structure_foreground,kligler,natiCPR03_07,docres_classical040_blend_0.85,29.891901034756224,0.9646561741828918,0.3898715922161852
structure_foreground,kligler,natiCPR03_09,docres_classical040_blend_0.95,27.176822890621636,0.9673387408256531,0.44123359654815153
structure_foreground,kligler,natiCPR03_11,docres_classical040_blend_0.95,28.71553764773747,0.9630534648895264,0.4525150739716437
structure_foreground,kligler,natiCPR04_06,docres_classical040_blend_0.95,30.812931533139466,0.9552860856056213,0.5066167092203835
structure_foreground,kligler,natiCPR04_09,docres_classical040_blend_0.95,30.709823554219863,0.9525705575942993,0.4967675119625349
structure_foreground,kligler,natiCPR04_11,docres_classical040_blend_0.90,29.79238786669058,0.9523207545280457,0.4785071159251738
structure_foreground,kligler,natiCPR05_03,docres_classical040_blend_0.80,29.088628882794293,0.9648350477218628,0.4552266668269456
structure_foreground,kligler,natiCPR05_07,docres_classical040_blend_0.95,32.36811297767639,0.9603868126869202,0.45509127727363485
structure_foreground,kligler,natiCPR05_12,docres_classical040_blend_0.95,30.163961857503004,0.9433093070983887,0.4684651153232686
structure_foreground,kligler,natiCSY01_02,docres_classical040_blend_0.85,27.380715425854195,0.9355969429016113,0.5077115893403578
structure_foreground,kligler,natiCSY01_04,docres_classical040_blend_0.95,26.71146035501532,0.9341444373130798,0.5458250101562909
structure_foreground,kligler,natiCSY01_07,docres_classical040_blend_0.80,25.53231251957278,0.9392399787902832,0.5643958556691904
structure_foreground,kligler,natiCSY01_08,docres_classical040_blend_0.95,25.1722552903869,0.9302104711532593,0.6280206655289144
structure_foreground,kligler,natiCSY01_11,docres_input_blend_0.85,20.352371582557083,0.8801373839378357,0.5262634990971407
structure_foreground,kligler,natiCSY01_12,docres_classical040_blend_0.80,28.02030908572178,0.9698378443717957,0.49948283743256294
structure_foreground,kligler,natiCSY01_15,docres_classical040_blend_0.85,27.622706770113574,0.9708419442176819,0.41723648370318983
structure_foreground,kligler,natiCSY02_01,docres_classical040_blend_0.95,30.34570377493576,0.9734639525413513,0.47978254289741556
structure_foreground,kligler,natiCSY02_02,docres_classical040_blend_0.95,28.16517852385123,0.9752157926559448,0.45859922435181955
structure_foreground,kligler,natiCSY02_10,docres_classical040_blend_0.95,28.910716672829775,0.9735665321350098,0.4655424491091129
structure_foreground,kligler,natiCSY03_02,docres_classical040_blend_0.80,33.61877618859018,0.9764516353607178,0.3339843521446689
structure_foreground,kligler,natiCSY03_03,docres_classical040_blend_0.80,30.459489419473677,0.9717348217964172,0.45142553266788443
structure_foreground,kligler,natiCSY03_05,docres_classical040_blend_0.95,29.474328435282402,0.9675540924072266,0.45235745306034475
