dataset,sample_id,method,psnr,ssim,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift,contrast_after,sharp_after,content_risk
mixeddoc,mixeddoc_00669,classical_shadow_0.40,20.41119170748609,0.9391927123069763,0.982769623470731,0.989565144509478,0.0208132183908046,0.012300524002704512,0.033508787012117985,42.69121097061623,5430.067670814008,0.05359236963732822
mixeddoc,mixeddoc_00669,docres_deshadow,32.57992035442776,0.9472777247428894,0.852656350095453,0.9667258021707852,0.06444540229885057,0.028609753211629466,0.057707386238058045,36.52056816800152,5508.4212125643735,0.1768183777833833
mixeddoc,mixeddoc_00669,docres_input_blend_0.90,30.89305622115137,0.9482523202896118,0.8745329697960905,0.9678293544917373,0.06310775862068965,0.02538930020283978,0.05730382046972459,36.62347743892655,5479.496659447727,0.16410593457541958
mixeddoc,mixeddoc_00669,docres_input_blend_0.80,28.26600685905595,0.9477180242538452,0.8852051546673142,0.9701063042172462,0.060201149425287356,0.02231241830065354,0.05542236951996325,37.10324743111569,5470.3854656702,0.15403721885723531
mixeddoc,mixeddoc_00669,region_controller,27.7181578054587,0.9462262988090515,0.8824903217505555,0.9712238255549192,0.0595014367816092,0.021253082037412697,0.05423811601996458,37.40523207361535,5476.386544514993,0.15342489442080304
mixeddoc,mixeddoc_00670,classical_shadow_0.40,14.441628536424817,0.4196510314941406,0.7724335691023231,0.9698759031228247,0.12024568965517242,0.013583175569078218,0.03950930786419299,28.982740684965442,977.9624793387811,0.25178943850527413
mixeddoc,mixeddoc_00670,docres_deshadow,15.41339761675777,0.4356847107410431,0.8129330750963852,0.9067713208996423,0.34026580459770117,0.03846491435654729,0.07368591154390719,20.26770674663832,756.7016710046821,0.39377762887558987
mixeddoc,mixeddoc_00670,docres_input_blend_0.90,15.37560816985276,0.43568360805511475,0.8212609641927437,0.9087075842314555,0.3106939655172414,0.034482989632634735,0.07285367659640142,20.479926658252293,751.1827094142205,0.3879379679241601
mixeddoc,mixeddoc_00670,docres_input_blend_0.80,15.283297341859257,0.43494170904159546,0.8341554313213185,0.9133242120928446,0.2773117816091954,0.03063785778679287,0.06976681043932366,21.26707752830712,745.8924765746797,0.37874528528371804
mixeddoc,mixeddoc_00670,region_controller,15.271518062236131,0.43377685546875,0.8452514252614862,0.9240936767400366,0.2821810344827586,0.029359324994365634,0.06903745956821337,21.453062000440244,744.2947495200634,0.37280306437100547
mixeddoc,mixeddoc_00671,classical_shadow_0.40,10.762918939066708,0.18032918870449066,0.9580449306592101,0.9781803143770805,0.05425718390804598,0.0290831248591391,0.04703149993590277,41.56480343811551,6302.150492277248,0.11298911501659871
mixeddoc,mixeddoc_00671,docres_deshadow,11.84234019576202,0.20236852765083313,0.5818708064709187,0.724369341888146,0.041729885057471265,0.06263433626324098,0.044938383207408644,42.09854820388151,5282.869981507875,0.28190478657529944
mixeddoc,mixeddoc_00671,docres_input_blend_0.90,11.616942618271015,0.20095467567443848,0.6082031863043981,0.7457672921725103,0.036193965517241376,0.05637182217714678,0.04104278556092681,43.09192560373438,5285.020768534315,0.2596769318876771
mixeddoc,mixeddoc_00671,docres_input_blend_0.80,11.389267729110957,0.19922979176044464,0.6367551972825226,0.7681479267408866,0.029376436781609196,0.050103921568627446,0.036985352224830924,44.12657110443883,5309.403528546696,0.2350693779668236
mixeddoc,mixeddoc_00671,region_controller,11.20589422110745,0.19866687059402466,0.647256354808178,0.7757964860847811,0.025242816091954022,0.044913049357674095,0.03331194587251589,45.063289724279166,5296.618634611936,0.2219298436948531
mixeddoc,mixeddoc_00672,classical_shadow_0.40,19.336519002241218,0.8511644005775452,0.9437482429232193,0.9713283647523017,0.05856465517241379,0.035878442641424445,0.03844560685529665,54.77830668478876,5343.594909474566,0.12129668702671285
mixeddoc,mixeddoc_00672,docres_deshadow,20.894822241471445,0.852604329586029,0.9064844587276721,0.9491977202981149,0.05299425287356322,0.014627315753887829,0.016734318420942355,60.314685235549106,5125.544833093867,0.11096776380023131
