sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_00348,qwen_selected,docres_classical040_blend_0.90,360,230,241,30,0.7297409200910135,0.5805555555555556,0.3029045643153527,0.0424646747914673,11,3
mixeddoc_00967,input,input,1372,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00967,classical_shadow_0.40,classical_shadow_0.40,1372,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00967,docres_deshadow,docres_deshadow,1372,0,9,1,0.5310551300644875,0.9948979591836736,1.0,0.5310551300644875,9,1
mixeddoc_00967,no_qwen_selected,docres_classical040_blend_0.90,1372,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00967,qwen_selected,docres_deshadow,1372,0,9,1,0.5310551300644875,0.9948979591836736,1.0,0.5310551300644875,9,1
mixeddoc_01758,input,input,224,184,184,23,0.6835696189185646,0.7366071428571429,0.0,0.0,0,0
mixeddoc_01758,classical_shadow_0.40,classical_shadow_0.40,224,184,185,25,0.6801769885510589,0.7366071428571429,0.2432432432432432,-0.0033926303675057,1,2
mixeddoc_01758,docres_deshadow,docres_deshadow,224,184,224,24,0.6888150394547248,0.5535714285714286,0.5892857142857143,0.0052454205361601,40,1
mixeddoc_01758,no_qwen_selected,docres_input_blend_0.90,224,184,221,23,0.6850623148904514,0.5580357142857143,0.583710407239819,0.0014926959718868,37,0
mixeddoc_01758,qwen_selected,docres_deshadow,224,184,224,24,0.6888150394547248,0.5535714285714286,0.5892857142857143,0.0052454205361601,40,1
mixeddoc_00232,input,input,801,592,592,42,0.7737742210209643,0.3682896379525593,0.0,0.0,0,0
mixeddoc_00232,classical_shadow_0.40,classical_shadow_0.40,801,592,586,43,0.7789038729072011,0.383270911360799,0.1081081081081081,0.0051296518862368,-6,1
mixeddoc_00232,docres_deshadow,docres_deshadow,801,592,644,43,0.7688960692443547,0.3033707865168539,0.2313664596273291,-0.0048781517766095,52,1
mixeddoc_00232,no_qwen_selected,region_controller,801,592,617,39,0.7775989379615129,0.3196004993757803,0.2285251215559157,0.0038247169405486,25,-3
mixeddoc_00232,qwen_selected,docres_input_blend_0.80,801,592,631,39,0.7864467933911238,0.3071161048689138,0.2123613312202852,0.0126725723701595,39,-3
