dataset,sample_id,candidate,niqe,musiq,psnr,ssim,content_risk,selector,deqadoc
compound_proxy,000030_jung_031_v00,docres_deshadow,6.528043760573572,23.9448356628418,24.345795127647357,0.8587218523025513,0.3260635404851124,NIQE selector restricted16,
compound_proxy,000030_jung_031_v01,classical_shadow_0.40,4.444348662000984,53.78551864624024,22.97742689037424,0.9820438623428344,0.1877547308798405,NIQE selector restricted16,
compound_proxy,000031_jung_032_v00,docres_classical040_blend_0.85,3.5517847090265064,51.20081329345703,21.82114437506165,0.9597219824790956,0.1132125654059616,NIQE selector restricted16,
compound_proxy,000031_jung_032_v01,docres_input_blend_0.95,3.4667985215672577,50.2330322265625,21.802229332591267,0.9900473356246948,0.4753719450342625,NIQE selector restricted16,
compound_proxy,000037_jung_038_v00,classical_shadow_0.70,6.373512234284321,20.389389038085938,20.829123804262323,0.5281063914299011,0.8529771923319747,NIQE selector restricted16,
compound_proxy,000037_jung_038_v01,classical_shadow_0.70,7.094293430335132,22.022674560546875,24.40123667519985,0.7933083772659302,0.8008092479352444,NIQE selector restricted16,
compound_proxy,000038_jung_039_v00,docres_appearance,7.481022577217791,55.629276275634766,19.98973581416919,0.924962282180786,0.1894157157262263,NIQE selector restricted16,
compound_proxy,000038_jung_039_v01,docres_classical040_blend_0.70,7.867168382115271,29.074573516845703,22.984874424480893,0.7478330731391907,0.46836451301785,NIQE selector restricted16,
compound_proxy,000043_jung_044_v00,docres_classical040_blend_0.80,7.639313881925831,22.99872589111328,20.19171801398159,0.509560227394104,0.3738016362817591,NIQE selector restricted16,
compound_proxy,000043_jung_044_v01,classical_shadow_0.25,8.267230897155365,26.4044132232666,13.28541564680724,0.7011948823928833,0.5906163336620309,NIQE selector restricted16,
compound_proxy,000046_jung_047_v00,docres_input_blend_0.90,7.127428898278201,54.16021728515625,19.55462497848465,0.5649230480194092,0.0816494420792568,NIQE selector restricted16,
compound_proxy,000046_jung_047_v01,input,8.35748997635439,22.28796768188477,21.115436810641807,0.5974705815315247,8.999999795422653e-09,NIQE selector restricted16,
compound_proxy,000050_jung_051_v00,classical_shadow_0.70,5.955188508765144,49.19409942626953,22.992762052983235,0.975648045539856,0.6722321095956725,NIQE selector restricted16,
compound_proxy,000050_jung_051_v01,classical_shadow_0.70,6.886239754836843,26.68369674682617,19.672914013893934,0.7164443731307983,0.670460013535238,NIQE selector restricted16,
compound_proxy,000051_jung_052_v00,docres_appearance,5.169466352345819,64.72786712646484,15.2323767741996,0.5540107488632202,0.1881764796391227,NIQE selector restricted16,
compound_proxy,000051_jung_052_v01,docres_appearance,4.424289379367496,60.416778564453125,14.627315046856758,0.5082906484603882,0.3898779884447348,NIQE selector restricted16,
compound_proxy,000057_jung_058_v00,docres_classical040_blend_0.85,5.62157567051529,53.0950927734375,18.99532595621104,0.6004536747932434,0.1197502498710868,NIQE selector restricted16,
compound_proxy,000057_jung_058_v01,docres_appearance,9.375352360158052,17.36969757080078,15.514775772114303,0.7479909062385559,0.4802231410250702,NIQE selector restricted16,
dibco18,dibco18_001,classical_shadow_0.70,3.7698135851437526,47.86168670654297,15.488432107769622,0.7212640047073364,0.3143967059993156,NIQE selector restricted16,
dibco18,dibco18_007,classical_shadow_0.70,4.007595026652887,47.88489532470703,17.48336685029568,0.7524306178092957,0.1402348713953556,NIQE selector restricted16,
dibco18,dibco18_008,classical_shadow_0.70,4.5241411458773495,35.96405792236328,14.025741576047764,0.6183673143386841,0.1228364828602662,NIQE selector restricted16,
dibco19,dibco19_a_008,classical_shadow_0.25,6.657195511755566,41.05647277832031,14.669684403444894,0.645976185798645,0.0308887277797867,NIQE selector restricted16,
jung,jung_003,classical_shadow_0.70,6.86667622455337,54.17254638671875,23.215921945014777,0.9284040331840516,0.3935203159996292,NIQE selector restricted16,
jung,jung_020,classical_shadow_0.70,4.304561839955628,55.35805892944336,21.480550440397312,0.9017121195793152,0.2312444084493058,NIQE selector restricted16,
jung,jung_029,classical_shadow_0.70,8.9543845019829,53.70691680908203,23.443423400471367,0.8913611769676208,0.2084753155221203,NIQE selector restricted16,
jung,jung_046,docres_deshadow,5.848852576907188,50.634883880615234,21.762653492170664,0.9389850497245787,0.2215453792318367,NIQE selector restricted16,
jung,jung_048,classical_shadow_0.70,5.978383229510282,60.48230743408203,23.449768919508465,0.9293593168258668,0.2663354596105232,NIQE selector restricted16,
jung,jung_052,classical_shadow_0.70,5.107756400338619,61.88827896118164,23.18376081907136,0.9359951615333556,0.3305237853994238,NIQE selector restricted16,
jung,jung_053,classical_shadow_0.70,5.761912007199421,53.88656234741211,23.04513679204183,0.9298233389854432,0.3407833859291543,NIQE selector restricted16,
jung,jung_058,classical_shadow_0.70,4.911961990217378,50.52171325683594,22.000615430923904,0.9360281229019164,0.2410964483634435,NIQE selector restricted16,
jung,jung_061,classical_shadow_0.70,5.027096709501332,55.0567626953125,23.530317492567782,0.9326379895210266,0.2854632223574122,NIQE selector restricted16,
jung,jung_063,classical_shadow_0.70,3.798102461702185,60.67561721801758,18.09766990167966,0.882344663143158,0.3173511072663788,NIQE selector restricted16,
jung,jung_067,classical_shadow_0.70,5.279145658305105,49.31085205078125,24.703926959952977,0.8865007758140564,0.3287503123487959,NIQE selector restricted16,
