dataset,sample_id,candidate,psnr,ssim,content_risk,deqadoc,selector
kligler,natiCSY01_08,docres_binarization,9.301133627510422,0.6842060685157776,0.7439833847823019,3.90234375,DeQA-Doc selector
kligler,natiCSY01_11,docres_binarization,9.234601131978902,0.6637946963310242,0.7325261119280397,4.13671875,DeQA-Doc selector
kligler,natiCSY01_12,binary_input_blend_0.90,10.55171088128441,0.7163307070732117,0.6994271603781449,4.0,DeQA-Doc selector
kligler,natiCSY01_15,docres_appearance,11.301758891533925,0.8646484017372131,0.5191006249373312,3.8984375,DeQA-Doc selector
kligler,natiCSY02_01,docres_appearance,10.59687879865399,0.8599402904510498,0.4984906316318225,3.671875,DeQA-Doc selector
kligler,natiCSY02_02,docres_appearance,10.606235658033427,0.8596206903457642,0.4838239811918128,3.669921875,DeQA-Doc selector
kligler,natiCSY02_10,docres_appearance,10.612366588373996,0.8597292304039001,0.48992284878712633,3.64453125,DeQA-Doc selector
kligler,natiCSY03_02,docres_appearance,12.00299815992248,0.8940643668174744,0.44464927820737443,3.126953125,DeQA-Doc selector
kligler,natiCSY03_03,docres_appearance,11.982203235450651,0.8958446383476257,0.5087641792952089,3.134765625,DeQA-Doc selector
kligler,natiCSY03_05,docres_appearance,12.00305197683731,0.8933176398277283,0.5146872901959759,3.166015625,DeQA-Doc selector
kligler,natiCSY03_06,docres_appearance,11.984826086623093,0.8899948000907898,0.5120750136427572,3.154296875,DeQA-Doc selector
kligler,natiCSY04_06,docres_appearance,12.592448207187164,0.8955166339874268,0.4783539781917502,2.873046875,DeQA-Doc selector
kligler,natiCSY04_14,docres_appearance,12.555390890181998,0.8861660957336426,0.48669980394516443,2.869140625,DeQA-Doc selector
kligler,natiCSY04_15,docres_appearance,12.585915215730124,0.8804551959037781,0.44930008659611553,2.845703125,DeQA-Doc selector
kligler,natiCSY06_02,docres_classical040_blend_0.70,22.353844809965175,0.9233658909797668,0.3463220999504012,2.94921875,DeQA-Doc selector
kligler,natiCSY06_04,docres_appearance,14.985972975891428,0.8794482350349426,0.6321591721155407,2.947265625,DeQA-Doc selector
kligler,natiCSY06_11,docres_appearance,14.476857354171852,0.891823410987854,0.4130677313384542,2.955078125,DeQA-Doc selector
kligler,natiCSY06_12,docres_appearance,14.893840035560553,0.8894296288490295,0.6499995847526981,2.935546875,DeQA-Doc selector
kligler,natiCSY06_14,docres_appearance,14.42772263189081,0.8881950974464417,0.47072803609089725,2.96484375,DeQA-Doc selector
kligler,natiCSY07_08,docres_appearance,13.434218922866418,0.919090986251831,0.5519787600219433,3.509765625,DeQA-Doc selector
kligler,natiCSY07_13,docres_appearance,13.418275387819264,0.9215729832649231,0.5509310236188393,3.451171875,DeQA-Doc selector
